ID_EQ_ESP;NOME;NOME_POPULAR;TIPO;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOGRADOURO;GEOMETRIA;GESTOR_EQUIP_ESPORT;STATUS
1869;CAMPO DO SANTANA DO CAFEZAL 1;;CAMPO DE FUTEBOL SOCIETY;VIA DE PEDESTRE;QUATRO MIL SETECENTOS E VINTE E TRES;50.0;;SANTANA DO CAFEZAL; ;POINT (613793.15 7795238.65);SMEL;ATIVO
1765;ACADEMIA DA PRAÇA DE ESPORTE VILA CAFEZAL;;ACADEMIA A CÉU ABERTO;VIA DE PEDESTRE;QUATRO MIL SETECENTOS E VINTE E TRES;50.0;;SANTANA DO CAFEZAL; ;POINT (613919.0 7795252.0);SMEL;ATIVO
2288;CAMPO DO SANTANA DO CAFEZAL 2;CAMPO DA PRAÇA DO CAFEZAL;CAMPO DE FUTEBOL SOCIETY;VIA DE PEDESTRE;QUATRO MIL SETECENTOS E VINTE E TRES;50.0;;SANTANA DO CAFEZAL; ;POINT (613814.92 7795241.31);SMEL;ATIVO
1870;QUADRA DA PRAÇA DO CAFEZAL;;QUADRA POLIESPORTIVA;VIA DE PEDESTRE;QUATRO MIL SETECENTOS E VINTE E TRES;50.0;;SANTANA DO CAFEZAL; ;POINT (613826.18 7795245.42);SMEL;ATIVO
1247;CAMPO DO NOVA GRANADA;CAMPO DO NOVA GRANADA, ARENA MORRO DAS PEDRAS - C, PARQUE DO LIXÃO - C;CAMPO DE FUTEBOL SOCIETY;BECO;DA PEDREIRA;138.0;;SÃO JORGE III; ;POINT (608447.97 7793871.26);SMEL;ATIVO
1910;QUADRA DO PARQUE PROFESSOR GUILHERME DE AZEVEDO LAGE 6;MATADOURO;QUADRA DE VÔLEI;RUA;ANGOLA;665.0;;EYMARD; ;POINT (612890.22 7802959.84);FPMZB-SMMA;ATIVO
1911;CAMPO DO PARQUE PROFESSOR GUILHERME DE AZEVEDO LAGE;MATADOURO;CAMPO DE FUTEBOL;RUA;ANGOLA;665.0;;EYMARD; ;POINT (612851.30 7803333.09);CONCESSÃO VÁRZEA VIVA;ATIVO
1912;PISTA DE SKATE DO PARQUE PROFESSOR GUILHERME DE AZEVEDO LAGE;MATADOURO;PISTA DE SKATE;RUA;ANGOLA;665.0;;EYMARD; ;POINT (612858.73 7802980.00);FPMZB-SMMA;ATIVO
1903;QUADRA DO PARQUE PROFESSOR GUILHERME DE AZEVEDO LAGE 1;MATADOURO;QUADRA DE FUTSAL;RUA;ANGOLA;665.0;;EYMARD; ;POINT (612915.09 7802912.03);FPMZB-SMMA;ATIVO
1904;QUADRA DO PARQUE PROFESSOR GUILHERME DE AZEVEDO LAGE 2;MATADOURO;QUADRA POLIESPORTIVA;RUA;ANGOLA;665.0;;EYMARD; ;POINT (612901.04 7803269.43);FPMZB-SMMA;INATIVO
1905;QUADRA DO PARQUE PROFESSOR GUILHERME DE AZEVEDO LAGE 3;MATADOURO;QUADRA DE PETECA;RUA;ANGOLA;665.0;;EYMARD; ;POINT (612910.75 7802958.16);FPMZB-SMMA;ATIVO
1906;QUADRA DO PARQUE PROFESSOR GUILHERME DE AZEVEDO LAGE 4;MATADOURO;QUADRA DE PETECA;RUA;ANGOLA;665.0;;EYMARD; ;POINT (612901.90 7802958.36);FPMZB-SMMA;ATIVO
1907;QUADRA DO PARQUE PROFESSOR GUILHERME DE AZEVEDO LAGE 5;MATADOURO;QUADRA DE PETECA;RUA;ANGOLA;665.0;;EYMARD; ;POINT (612882.82 7803269.53);FPMZB-SMMA;INATIVO
1435;ACADEMIA DO PARQUE PROFESSOR GUILHERME LAGE;;ACADEMIA A CÉU ABERTO;RUA;ANGOLA;665.0;;EYMARD; ;POINT (612927.74 7803098.01);FPMZB-SMMA;ATIVO
2845;CAMPO DO TÚNEL CAMARÕES 1;;CAMPO DE FUTEBOL;RUA;MARLY PASSOS;;;TÚNEL DE IBIRITÉ;"ESQUINA RUA MARLY PASSOS
E RUA FRANCISCO JONAS SANTANA";POINT (599575.55 7789971.34);SMEL;ATIVO
